iter	Passed	Remaining
468	766	867
469	768	866
470	770	865
471	772	863
472	773	861
473	775	860
474	777	858
475	778	857
476	780	855
477	781	853
478	783	852
479	784	850
480	786	848
481	788	846
482	789	845
483	791	843
484	792	841
485	793	839
486	795	837
487	796	836
488	798	834
489	800	832
490	801	831
491	803	829
492	804	827
493	806	826
494	808	824
495	810	823
496	812	821
497	813	820
498	815	819
499	817	817
500	818	815
501	821	815
502	823	813
503	825	811
504	826	810
505	828	809
506	830	807
507	832	806
508	834	804
509	836	803
510	837	801
511	839	800
512	841	798
513	843	797
514	844	795
515	846	793
516	847	791
517	849	790
518	850	788
519	852	786
520	853	785
521	855	783
522	857	781
523	859	780
524	860	778
525	862	777
526	863	775
527	866	774
528	868	773
529	870	771
530	871	770
531	873	768
532	874	766
533	876	764
534	878	763
535	879	761
536	881	760
537	884	759
538	886	757
539	887	756
540	889	754
541	892	753
542	893	752
543	895	750
544	896	748
545	898	747
546	900	745
547	901	743
548	903	742
549	905	740
550	906	738
551	907	736
552	909	735
553	911	733
554	912	731
555	914	730
556	916	728
557	918	727
558	920	725
559	922	724
560	924	723
561	926	721
562	928	720
563	930	718
564	931	717
565	933	715
566	935	714
567	937	712
568	938	711
569	940	709
570	941	707
571	943	706
572	945	704
573	946	702
574	948	700
575	950	699
576	951	697
577	953	696
578	955	694
579	956	692
580	958	691
581	960	689
582	962	688
583	963	686
584	965	684
585	967	683
586	969	682
587	970	680
588	972	678
589	974	677
590	975	675
591	977	673
592	978	671
593	980	670
594	981	668
595	983	666
596	985	665
597	987	664
598	989	662
599	991	661
600	993	659
601	994	657
602	996	656
603	998	654
604	1000	653
605	1002	651
606	1004	650
607	1006	648
608	1007	646
609	1009	645
610	1010	643
611	1012	642
612	1014	640
613	1016	638
614	1017	637
615	1018	635
616	1020	633
617	1022	631
618	1023	630
619	1025	628
620	1027	626
621	1029	625
622	1031	623
623	1032	622
624	1034	620
625	1035	618
626	1038	617
627	1039	616
628	1042	614
629	1044	613
630	1047	612
631	1048	610
632	1050	609
633	1052	607
634	1054	606
635	1056	604
636	1058	603
637	1059	601
638	1060	599
639	1062	597
640	1064	596
641	1066	594
642	1068	593
643	1070	591
644	1072	590
645	1074	588
646	1076	587
647	1078	585
648	1079	584
649	1080	582
650	1082	580
651	1083	578
652	1085	576
653	1087	575
654	1088	573
655	1090	571
656	1091	569
657	1092	568
658	1094	566
659	1096	564
660	1099	563
661	1100	561
662	1102	560
663	1104	559
664	1107	557
665	1108	555
666	1110	554
667	1112	552
668	1114	551
669	1115	549
670	1117	547
671	1118	545
672	1120	544
673	1122	542
674	1123	541
675	1125	539
676	1126	537
677	1128	536
678	1130	534
679	1132	532
680	1133	531
681	1135	529
682	1137	527
683	1139	526
684	1140	524
685	1142	522
686	1144	521
687	1146	520
688	1148	518
689	1149	516
690	1151	514
691	1152	513
692	1154	511
693	1156	509
694	1158	508
695	1159	506
696	1161	504
697	1163	503
698	1165	501
699	1168	500
700	1170	499
701	1171	497
702	1173	495
703	1175	494
704	1176	492
705	1178	490
706	1180	489
707	1182	487
708	1183	485
709	1185	484
710	1186	482
711	1187	480
712	1189	478
713	1192	477
714	1193	475
715	1195	474
716	1197	472
717	1198	470
718	1200	469
719	1202	467
720	1204	466
721	1206	464
722	1207	462
723	1209	460
724	1210	459
725	1212	457
726	1213	455
727	1216	454
728	1218	452
729	1220	451
730	1222	449
731	1224	448
732	1226	446
733	1228	445
734	1229	443
735	1231	441
736	1233	440
737	1234	438
738	1236	436
739	1238	435
740	1239	433
741	1242	431
742	1243	430
743	1245	428
744	1246	426
745	1248	424
746	1249	423
747	1251	421
748	1253	420
749	1255	418
750	1257	416
